paper_id,title,first_author,publication_year,journal,doi,document_type,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,needs_manual_journal_check,relevance_score,extractability_score,journal_quality_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,priority_rationale,screening_notes,exclude_reason,old_final_priority_label
paper_0005,On the nature of carbon in Ni/$alpha;-Al2O3 catalyst deactivated by the methane-steam reforming reaction,DEDEKEN,1981.0,Journal of Catalysis,10.1016/0021-9517(81)90332-8,journal_article,2025,6.5,,manual_lookup,no,85,50,85,78.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0021,Internal steam reforming of methane over Ni-based electrode in solid oxide fuel cells,V. D. Belyaev,1995.0,Applied Catalysis A General,10.1016/0926-860x(95)00184-0,journal_article,2025,4.8,,manual_lookup,no,85,50,55,63.0,yes,no,no,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0036,Methane-Steam Reforming over Ni/Al2O3 Catalyst Prepared Using W/O Microemulsion,Hayashi,2001.0,Chemistry Letters,10.1246/cl.2001.34,journal_article,,,,,yes,85,80,0,41.5,yes,no,yes,期刊IF缺失，需人工核查；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0148,Catalyst development for steam reforming of methane and model biogas at low temperature,Sofia Angeli,2015.0,Applied Catalysis B: Environmental,10.1016/j.apcatb.2015.07.039,journal_article,2025,21.1,,manual_lookup,no,75,70,100,86.5,no,yes,no,期刊IF>=10，期刊质量最高优先；更可能包含条件字段,journal_article_candidate_after_auto_screening,,low_priority
paper_0107,Preparation of supported Ni catalysts on various metal oxides with core/shell structures and their tests for the steam reforming of methane,Hyowon Kim,2010.0,Chemical Engineering Journal,10.1016/j.cej.2010.11.045,journal_article,2025,13.2,,manual_lookup,no,75,50,100,82.5,no,no,no,期刊IF>=10，期刊质量最高优先,journal_article_candidate_after_auto_screening,,low_priority
paper_0168,Low temperature steam reforming of methane using metal oxide promoted Ni-Ce0.8Zr0.2O2 catalysts in a compact reformer,Hak-Min Kim,2017.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.11.058,journal_article,2025,8.3,,manual_lookup,no,75,70,85,79.0,no,yes,no,期刊IF>=6，满足第一批高质量筛选门槛；更可能包含条件字段,journal_article_candidate_after_auto_screening,,low_priority
paper_0125,Thermodynamic and experimental study of combined dry and steam reforming of methane on Ru/ ZrO2-La2O3 catalyst at low temperature,M.A. Soria,2011.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2011.08.117,journal_article,2025,8.3,,manual_lookup,no,75,70,85,79.0,no,yes,no,期刊IF>=6，满足第一批高质量筛选门槛；更可能包含条件字段,journal_article_candidate_after_auto_screening,,low_priority
paper_0049,Methane steam reforming over Ce–ZrO2-supported noble metal catalysts at low temperature,Katsuki Kusakabe,2004.0,Fuel Processing Technology,10.1016/j.fuproc.2004.05.003,journal_article,2025,7.7,,manual_lookup,no,75,70,85,79.0,no,yes,no,期刊IF>=6，满足第一批高质量筛选门槛；更可能包含条件字段,journal_article_candidate_after_auto_screening,,low_priority
paper_0210,"Synthesis, characterization, and application of bio-templated Ni–Ce/Al2O3 catalyst for clean H2 production in the steam reforming of methane process",Hadiseh Khosravani,2023.0,Journal of the Energy Institute,10.1016/j.joei.2023.101203,journal_article,2025,6.2,,manual_lookup,no,75,50,85,75.0,no,no,no,期刊IF>=6，满足第一批高质量筛选门槛,journal_article_candidate_after_auto_screening,,low_priority
paper_0197,A two step Microwave-assisted coke resistant mesoporous Ni-Co catalyst for methane steam reforming,Etminan,2022.0,Fuel,10.1016/j.fuel.2021.122411,journal_article,2025,7.5,,manual_lookup,no,75,50,85,75.0,no,no,no,期刊IF>=6，满足第一批高质量筛选门槛,journal_article_candidate_after_auto_screening,,low_priority
